A87,A87,fastq/SRR13124770_1.fastq,fastq/SRR13124770_2.fastq
A17,A17,fastq/SRR13124774_1.fastq,fastq/SRR13124774_2.fastq
A88,A88,fastq/SRR13124781_1.fastq,fastq/SRR13124781_2.fastq
A89,A89,fastq/SRR13124792_1.fastq,fastq/SRR13124792_2.fastq
A200,A200,fastq/SRR13124799_1.fastq,fastq/SRR13124799_2.fastq
A202,A202,fastq/SRR13124801_1.fastq,fastq/SRR13124801_2.fastq
A203,A203,fastq/SRR13124802_1.fastq,fastq/SRR13124802_2.fastq
A8,A8,fastq/SRR13124803_1.fastq,fastq/SRR13124803_2.fastq
A246,A246,fastq/SRR13124840_1.fastq,fastq/SRR13124840_2.fastq
A279,A279,fastq/SRR13124866_1.fastq,fastq/SRR13124866_2.fastq
A280,A280,fastq/SRR13124868_1.fastq,fastq/SRR13124868_2.fastq
A375,A375,fastq/SRR13124976_1.fastq,fastq/SRR13124976_2.fastq
A377,A377,fastq/SRR13124978_1.fastq,fastq/SRR13124978_2.fastq
A3,A3,fastq/SRR13125003_1.fastq,fastq/SRR13125003_2.fastq
A42,A42,fastq/SRR13125025_1.fastq,fastq/SRR13125025_2.fastq
A49,A49,fastq/SRR13125032_1.fastq,fastq/SRR13125032_2.fastq
A4,A4,fastq/SRR13125033_1.fastq,fastq/SRR13125033_2.fastq
A53,A53,fastq/SRR13125038_1.fastq,fastq/SRR13125038_2.fastq
A54,A54,fastq/SRR13125039_1.fastq,fastq/SRR13125039_2.fastq
A56,A56,fastq/SRR13125041_1.fastq,fastq/SRR13125041_2.fastq
A58,A58,fastq/SRR13125043_1.fastq,fastq/SRR13125043_2.fastq
A5,A5,fastq/SRR13125044_1.fastq,fastq/SRR13125044_2.fastq
A471,A471,fastq/SRR13125050_1.fastq,fastq/SRR13125050_2.fastq
A470,A470,fastq/SRR13124649_1.fastq,fastq/SRR13124649_2.fastq
A469,A469,fastq/SRR13124650_1.fastq,fastq/SRR13124650_2.fastq
A468,A468,fastq/SRR13124651_1.fastq,fastq/SRR13124651_2.fastq
A467,A467,fastq/SRR13124652_1.fastq,fastq/SRR13124652_2.fastq
A462,A462,fastq/SRR13124657_1.fastq,fastq/SRR13124657_2.fastq
A438,A438,fastq/SRR13124680_1.fastq,fastq/SRR13124680_2.fastq
A79,A79,fastq/SRR13124703_1.fastq,fastq/SRR13124703_2.fastq
A102,A102,fastq/SRR13124709_1.fastq,fastq/SRR13124709_2.fastq
A7,A7,fastq/SRR13124714_1.fastq,fastq/SRR13124714_2.fastq
A10,A10,fastq/SRR13124715_1.fastq,fastq/SRR13124715_2.fastq
A128,A128,fastq/SRR13124731_1.fastq,fastq/SRR13124731_2.fastq
A84,A84,fastq/SRR13124736_1.fastq,fastq/SRR13124736_2.fastq
A138,A138,fastq/SRR13124739_1.fastq,fastq/SRR13124739_2.fastq
A13,A13,fastq/SRR13124741_1.fastq,fastq/SRR13124741_2.fastq
A85,A85,fastq/SRR13124747_1.fastq,fastq/SRR13124747_2.fastq
A159,A159,fastq/SRR13124754_1.fastq,fastq/SRR13124754_2.fastq
A15,A15,fastq/SRR13124755_1.fastq,fastq/SRR13124755_2.fastq
A16,A16,fastq/SRR13124764_1.fastq,fastq/SRR13124764_2.fastq
A170,A170,fastq/SRR13124765_1.fastq,fastq/SRR13124765_2.fastq
